,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5279385681,Enchantress,Ancient Apparition,Timbersaw,Batrider,Mars,Dark Seer,Nyx Assassin,Rubick,Pangolier,Medusa,Faceless Void,Bloodseeker,Templar Assassin,Queen of Pain,Vengeful Spirit,Disruptor,Razor,Centaur Warrunner,Ember Spirit,Dragon Knight,Puck,Arc Warden
5279527321,Enchantress,Ancient Apparition,Timbersaw,Batrider,Nyx Assassin,Medusa,Snapfire,Oracle,Mars,Riki,Troll Warlord,Templar Assassin,Bloodseeker,Pangolier,Shadow Shaman,Earthshaker,Puck,Shadow Fiend,Omniknight,Naga Siren,Beastmaster,Terrorblade
5279062579,Clockwerk,Nyx Assassin,Batrider,Enchantress,Timbersaw,Troll Warlord,Ancient Apparition,Riki,Slardar,Tiny,Medusa,Phantom Lancer,Lich,Faceless Void,Witch Doctor,Abaddon,Dark Seer,Void Spirit,Morphling,Razor,Lifestealer,Templar Assassin
5279156691,Ancient Apparition,Clockwerk,Tiny,Timbersaw,Mars,Nyx Assassin,Batrider,Oracle,Troll Warlord,Razor,Void Spirit,Naga Siren,Queen of Pain,Phantom Lancer,Disruptor,Earthshaker,Centaur Warrunner,Morphling,Enchantress,Outworld Devourer,Chen,Lina
5279256959,Timbersaw,Nyx Assassin,Earthshaker,Ancient Apparition,Batrider,Tiny,Clockwerk,Chen,Rubick,Void Spirit,Shadow Fiend,Phantom Lancer,Naga Siren,Dark Seer,Morphling,Snapfire,Centaur Warrunner,Slark,Abaddon,Bloodseeker,Pangolier,Ember Spirit
5278270021,Chen,Enchantress,Oracle,Timbersaw,Nyx Assassin,Medusa,Batrider,Abaddon,Lich,Earthshaker,Venomancer,Templar Assassin,Rubick,Morphling,Clockwerk,Ancient Apparition,Shadow Fiend,Faceless Void,Lina,Beastmaster,Kunkka,Puck
5278361095,Chen,Timbersaw,Oracle,Enchantress,Nyx Assassin,Batrider,Medusa,Razor,Snapfire,Ancient Apparition,Phantom Lancer,Kunkka,Faceless Void,Pugna,Rubick,Clockwerk,Beastmaster,Dark Seer,Bloodseeker,Anti-Mage,Ember Spirit,Monkey King
5277918926,Lone Druid,Void Spirit,Timbersaw,Oracle,Batrider,Snapfire,Nyx Assassin,Lifestealer,Ancient Apparition,Templar Assassin,Huskar,Phantom Lancer,Razor,Beastmaster,Clockwerk,Lich,Axe,Dark Seer,Ember Spirit,Viper,Ursa,Venomancer
5278034012,Void Spirit,Lone Druid,Oracle,Timbersaw,Snapfire,Batrider,Ancient Apparition,Earthshaker,Pangolier,Clockwerk,Phantom Lancer,Lifestealer,Kunkka,Bloodseeker,Disruptor,Ember Spirit,Beastmaster,Medusa,Mars,Lycan,Enchantress,Anti-Mage
5278151155,Void Spirit,Timbersaw,Oracle,Lone Druid,Pangolier,Batrider,Snapfire,Nyx Assassin,Ancient Apparition,Lifestealer,Morphling,Puck,Phantom Lancer,Clockwerk,Legion Commander,Lich,Slark,Mars,Meepo,Monkey King,Slardar,Razor
5277519110,Batrider,Chen,Ancient Apparition,Enchantress,Nyx Assassin,Timbersaw,Snapfire,Earthshaker,Lich,Lifestealer,Razor,Rubick,Troll Warlord,Slardar,Beastmaster,Disruptor,Riki,Underlord,Shadow Fiend,Meepo,Storm Spirit,Templar Assassin
5277616522,Chen,Enchantress,Medusa,Snapfire,Timbersaw,Razor,Batrider,Oracle,Nyx Assassin,Beastmaster,Troll Warlord,Morphling,Huskar,Lifestealer,Venomancer,Rubick,Abaddon,Phantom Lancer,Shadow Fiend,Meepo,Void Spirit,Ember Spirit
5277761166,Chen,Enchantress,Timbersaw,Snapfire,Nyx Assassin,Batrider,Lich,Oracle,Razor,Earthshaker,Rubick,Riki,Troll Warlord,Phantom Lancer,Clockwerk,Shadow Fiend,Templar Assassin,Chaos Knight,Beastmaster,Underlord,Nature's Prophet,Tidehunter
5277226212,Timbersaw,Ancient Apparition,Chen,Batrider,Lone Druid,Oracle,Nyx Assassin,Mars,Disruptor,Pangolier,Bloodseeker,Monkey King,Shadow Fiend,Razor,Bane,Lich,Templar Assassin,Phantom Lancer,Ember Spirit,Lifestealer,Kunkka,Spectre
5277302296,Oracle,Chen,Ancient Apparition,Timbersaw,Nyx Assassin,Batrider,Disruptor,Mars,Snapfire,Void Spirit,Ember Spirit,Lone Druid,Monkey King,Huskar,Templar Assassin,Lich,Earthshaker,Wraith King,Razor,Phantom Lancer,Slardar,Troll Warlord
5277395949,Nyx Assassin,Timbersaw,Oracle,Chen,Ancient Apparition,Batrider,Disruptor,Void Spirit,Snapfire,Storm Spirit,Puck,Lone Druid,Death Prophet,Lifestealer,Tiny,Shadow Shaman,Legion Commander,Monkey King,Slardar,Faceless Void,Omniknight,Anti-Mage
5276527334,Medusa,Enchantress,Troll Warlord,Nyx Assassin,Timbersaw,Chen,Batrider,Abaddon,Disruptor,Earthshaker,Clockwerk,Naga Siren,Faceless Void,Templar Assassin,Rubick,Ancient Apparition,Void Spirit,Shadow Fiend,Phantom Lancer,Anti-Mage,Riki,Spectre
5276594056,Medusa,Batrider,Troll Warlord,Nyx Assassin,Timbersaw,Riki,Clockwerk,Enchantress,Faceless Void,Ancient Apparition,Beastmaster,Naga Siren,Snapfire,Templar Assassin,Puck,Axe,Tusk,Wraith King,Shadow Fiend,Razor,Kunkka,Viper
5276303640,Nyx Assassin,Ancient Apparition,Timbersaw,Batrider,Oracle,Lone Druid,Snapfire,Rubick,Omniknight,Mars,Slark,Outworld Devourer,Enchantress,Morphling,Bane,Shadow Demon,Storm Spirit,Razor,Anti-Mage,Bloodseeker,Meepo,Sven
5276418281,Oracle,Ancient Apparition,Timbersaw,Lone Druid,Omniknight,Batrider,Nyx Assassin,Shadow Shaman,Mars,Lifestealer,Morphling,Viper,Enchantress,Dark Seer,Razor,Lich,Io,Dazzle,Meepo,Slark,Venomancer,Naga Siren
5276025003,Chen,Timbersaw,Batrider,Nyx Assassin,Mars,Enchantress,Clockwerk,Snapfire,Rubick,Riki,Phantom Lancer,Razor,Troll Warlord,Templar Assassin,Slardar,Lich,Medusa,Dark Seer,Monkey King,Kunkka,Arc Warden,Lifestealer
5276153898,Riki,Nyx Assassin,Timbersaw,Enchantress,Batrider,Chen,Snapfire,Clockwerk,Lich,Rubick,Dark Seer,Phantom Lancer,Morphling,Faceless Void,Ember Spirit,Abaddon,Grimstroke,Slark,Puck,Templar Assassin,Shadow Fiend,Naga Siren
5275804203,Timbersaw,Batrider,Faceless Void,Nyx Assassin,Oracle,Mars,Enchantress,Disruptor,Medusa,Spectre,Underlord,Razor,Viper,Templar Assassin,Phoenix,Snapfire,Pangolier,Invoker,Nature's Prophet,Broodmother,Centaur Warrunner,Bloodseeker
5275930073,Timbersaw,Batrider,Medusa,Phantom Lancer,Faceless Void,Snapfire,Enchantress,Nyx Assassin,Void Spirit,Lifestealer,Razor,Slardar,Morphling,Mars,Oracle,Rubick,Troll Warlord,Brewmaster,Viper,Death Prophet,Shadow Fiend,Templar Assassin
5275614040,Lifestealer,Disruptor,Snapfire,Void Spirit,Oracle,Batrider,Chen,Ancient Apparition,Mars,Storm Spirit,Lone Druid,Razor,Nyx Assassin,Rubick,Puck,Earth Spirit,Troll Warlord,Timbersaw,Slardar,Meepo,Wraith King,Pangolier
5275685767,Chen,Batrider,Disruptor,Snapfire,Void Spirit,Oracle,Ancient Apparition,Mars,Crystal Maiden,Lone Druid,Timbersaw,Lifestealer,Templar Assassin,Clockwerk,Shadow Fiend,Earthshaker,Rubick,Bloodseeker,Dark Seer,Wraith King,Pangolier,Monkey King
5275769958,Snapfire,Chen,Lone Druid,Disruptor,Oracle,Batrider,Lich,Mars,Enchantress,Riki,Slardar,Rubick,Phantom Lancer,Morphling,Grimstroke,Dark Willow,Bloodseeker,Storm Spirit,Omniknight,Meepo,Brewmaster,Visage
5275614315,Puck,Batrider,Enchantress,Ancient Apparition,Io,Chen,Snapfire,Nyx Assassin,Timbersaw,Monkey King,Lifestealer,Lycan,Razor,Templar Assassin,Oracle,Rubick,Troll Warlord,Outworld Devourer,Omniknight,Huskar,Centaur Warrunner,Queen of Pain
5275708727,Batrider,Enchantress,Ancient Apparition,Timbersaw,Nyx Assassin,Puck,Snapfire,Oracle,Void Spirit,Rubick,Troll Warlord,Phantom Lancer,Beastmaster,Lifestealer,Pangolier,Legion Commander,Slark,Bloodseeker,Templar Assassin,Huskar,Medusa,Monkey King
5250073611,Tiny,Io,Earthshaker,Oracle,Ancient Apparition,Batrider,Enchantress,Lich,Puck,Shadow Shaman,Timbersaw,Morphling,Slark,Razor,Troll Warlord,Abaddon,Omniknight,Outworld Devourer,Drow Ranger,Huskar,Templar Assassin,Leshrac
5250149658,Tiny,Io,Earthshaker,Batrider,Ancient Apparition,Oracle,Enchantress,Lich,Puck,Shadow Shaman,Slark,Morphling,Troll Warlord,Outworld Devourer,Timbersaw,Bloodseeker,Gyrocopter,Storm Spirit,Clockwerk,Templar Assassin,Omniknight,Ember Spirit
5250229053,Io,Tiny,Puck,Earthshaker,Enchantress,Oracle,Lich,Rubick,Omniknight,Outworld Devourer,Sniper,Timbersaw,Huskar,Winter Wyvern,Vengeful Spirit,Clockwerk,Templar Assassin,Dark Seer,Troll Warlord,Phantom Lancer,Drow Ranger,Lifestealer
5249855224,Keeper of the Light,Io,Puck,Enchantress,Winter Wyvern,Morphling,Oracle,Ancient Apparition,Timbersaw,Batrider,Faceless Void,Templar Assassin,Lifestealer,Slardar,Shadow Demon,Earth Spirit,Kunkka,Outworld Devourer,Slark,Naga Siren,Gyrocopter,Phantom Lancer
5249930526,Io,Timbersaw,Kunkka,Oracle,Slark,Ancient Apparition,Batrider,Omniknight,Rubick,Keeper of the Light,Lifestealer,Razor,Storm Spirit,Morphling,Disruptor,Troll Warlord,Faceless Void,Beastmaster,Templar Assassin,Arc Warden,Outworld Devourer,Sniper
5249978692,Keeper of the Light,Io,Ancient Apparition,Batrider,Timbersaw,Kunkka,Oracle,Earth Spirit,Disruptor,Troll Warlord,Outworld Devourer,Medusa,Razor,Dark Seer,Mars,Skywrath Mage,Templar Assassin,Huskar,Omniknight,Naga Siren,Legion Commander,Bloodseeker
5248805087,Tiny,Io,Earthshaker,Enchantress,Lich,Omniknight,Ancient Apparition,Puck,Oracle,Void Spirit,Troll Warlord,Naga Siren,Batrider,Morphling,Ember Spirit,Shadow Shaman,Timbersaw,Slark,Outworld Devourer,Bloodseeker,Shadow Fiend,Templar Assassin
5248902906,Tiny,Io,Timbersaw,Enchantress,Earthshaker,Lich,Puck,Rubick,Centaur Warrunner,Batrider,Oracle,Troll Warlord,Slark,Morphling,Ancient Apparition,Slardar,Lone Druid,Phantom Lancer,Templar Assassin,Ember Spirit,Kunkka,Magnus
5249029414,Tiny,Io,Timbersaw,Enchantress,Earthshaker,Lich,Puck,Oracle,Troll Warlord,Razor,Batrider,Mars,Queen of Pain,Centaur Warrunner,Earth Spirit,Omniknight,Outworld Devourer,Arc Warden,Keeper of the Light,Clockwerk,Winter Wyvern,Dark Seer
5248603687,Disruptor,Tiny,Nature's Prophet,Tusk,Io,Timbersaw,Enchantress,Ancient Apparition,Earthshaker,Slardar,Batrider,Slark,Morphling,Rubick,Venomancer,Clockwerk,Troll Warlord,Lifestealer,Outworld Devourer,Puck,Storm Spirit,Dragon Knight
5248676993,Tiny,Disruptor,Tusk,Nature's Prophet,Lich,Enchantress,Keeper of the Light,Chen,Slark,Bloodseeker,Storm Spirit,Ember Spirit,Dragon Knight,Outworld Devourer,Rubick,Spirit Breaker,Centaur Warrunner,Necrophos,Leshrac,Batrider,Templar Assassin,Void Spirit
5248739519,Disruptor,Tiny,Nature's Prophet,Tusk,Templar Assassin,Timbersaw,Enchantress,Keeper of the Light,Earth Spirit,Lifestealer,Razor,Storm Spirit,Troll Warlord,Omniknight,Slardar,Earthshaker,Magnus,Pangolier,Dragon Knight,Faceless Void,Morphling,Shadow Fiend
5248392279,Ancient Apparition,Io,Disruptor,Batrider,Nature's Prophet,Timbersaw,Enchantress,Silencer,Nyx Assassin,Slardar,Troll Warlord,Kunkka,Omniknight,Phantom Lancer,Mars,Clockwerk,Spectre,Slark,Templar Assassin,Enigma,Shadow Fiend,Snapfire
5248444844,Io,Ancient Apparition,Batrider,Nature's Prophet,Enchantress,Disruptor,Tiny,Puck,Tusk,Timbersaw,Slark,Troll Warlord,Bloodseeker,Morphling,Snapfire,Keeper of the Light,Monkey King,Lone Druid,Kunkka,Medusa,Templar Assassin,Arc Warden
5248533430,Io,Ancient Apparition,Batrider,Disruptor,Kunkka,Enchantress,Lich,Omniknight,Rubick,Timbersaw,Slark,Morphling,Bloodseeker,Lone Druid,Tusk,Tiny,Razor,Anti-Mage,Puck,Medusa,Queen of Pain,Templar Assassin
5248267578,Earthshaker,Timbersaw,Templar Assassin,Snapfire,Io,Chen,Lich,Disruptor,Tiny,Troll Warlord,Razor,Puck,Outworld Devourer,Rubick,Batrider,Tusk,Morphling,Legion Commander,Leshrac,Kunkka,Ember Spirit,Monkey King
5248304670,Lich,Void Spirit,Timbersaw,Earthshaker,Chen,Disruptor,Snapfire,Tiny,Enchantress,Legion Commander,Slardar,Crystal Maiden,Troll Warlord,Ancient Apparition,Morphling,Lion,Centaur Warrunner,Slark,Puck,Arc Warden,Medusa,Faceless Void
5248349736,Void Spirit,Enchantress,Earthshaker,Lich,Io,Timbersaw,Ancient Apparition,Tiny,Oracle,Faceless Void,Outworld Devourer,Puck,Templar Assassin,Omniknight,Slardar,Rubick,Troll Warlord,Invoker,Centaur Warrunner,Kunkka,Windranger,Leshrac
